Project Name,Package Name,Type Name,Code Smell
..,org.apache.roller.weblogger.business.plugins.comment,HTMLSubsetPlugin,Unutilized Abstraction
..,org.apache.roller.weblogger.business.plugins.comment,LinkMarkupPlugin,Unutilized Abstraction
..,org.apache.roller.weblogger.business.plugins.comment,WeblogEntryCommentPlugin,Unutilized Abstraction
..,org.apache.roller.weblogger.business.plugins.entry,ObfuscateEmailPlugin,Unutilized Abstraction
..,org.apache.roller.weblogger.business.plugins.entry,SmileysPlugin,Deficient Encapsulation
..,org.apache.roller.weblogger.business.plugins.entry,WeblogEntryPlugin,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.business.plugins.entry,EncodePreTagsPluginTest,Unutilized Abstraction
..,org.apache.roller.weblogger.business.plugins,PluginManager,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.business.plugins,CommentPluginsTest,Unutilized Abstraction
..,org.apache.roller.weblogger.business.runnable,ContinuousWorkerThread,Unutilized Abstraction
..,org.apache.roller.weblogger.business.runnable,HitCountProcessingJob,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.business.runnable,ResetHitCountsTask,Deficient Encapsulation
..,org.apache.roller.weblogger.business.runnable,RollerTaskWithLeasing,Broken Hierarchy
..,org.apache.roller.weblogger.business.runnable,ScheduledEntriesTask,Deficient Encapsulation
..,org.apache.roller.weblogger.business.runnable,TaskRunner,Unutilized Abstraction
..,org.apache.roller.weblogger.business.runnable,ThreadManagerImpl,Unutilized Abstraction
..,org.apache.roller.weblogger.business.search,SearchResultMap,Unutilized Abstraction
..,org.apache.roller.weblogger.business.search,IndexManagerTest,Deficient Encapsulation
..,org.apache.roller.weblogger.business.search.lucene,AddEntryOperation,Unutilized Abstraction
..,org.apache.roller.weblogger.business.search.lucene,AddEntryOperation,Broken Hierarchy
..,org.apache.roller.weblogger.business.search.lucene,FieldConstants,Deficient Encapsulation
..,org.apache.roller.weblogger.business.search.lucene,FieldConstants,Broken Modularization
..,org.apache.roller.weblogger.business.search.lucene,IndexOperation,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.business.search.lucene,IndexUtil,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.business.search.lucene,LuceneIndexManager,Cyclic-Dependent Modularization
