TypeName,WMC,NC,DIT,LCOM,FANIN,FANOUT
FileContentManagerImpl,52,0,1,0.2857142857142857,2,6
FilePathException,3,0,2,-1.0,0,0
SmileysPlugin,17,0,1,0.42857142857142855,1,4
EncodePreTagsPlugin,7,0,1,0.8,1,3
WeblogEntryPlugin,4,4,0,-1.0,2,2
ObfuscateEmailPlugin,5,0,1,1.0,0,3
ConvertLineBreaksPlugin,11,0,1,0.6,1,3
WeblogEntryCommentPlugin,4,3,0,-1.0,0,1
AutoformatPlugin,10,0,1,1.0,0,1
HTMLSubsetPlugin,6,0,1,0.8,0,2
LinkMarkupPlugin,8,0,1,1.0,0,2
PluginManager,6,1,0,-1.0,9,3
PluginManagerImpl,21,0,1,0.2222222222222222,1,7
JPAAutoPingManagerImpl,15,0,1,0.16666666666666666,1,8
JPAPingTargetManagerImpl,15,0,1,0.4,1,2
JPAWebloggerImpl,4,0,2,0.0,1,20
JPAPropertiesManagerImpl,16,0,1,0.25,1,4
JPAMediaFileManagerImpl,88,0,1,0.06666666666666667,1,15
JPAPersistenceStrategy,31,0,0,0.0,15,2
JPABookmarkManagerImpl,29,0,1,0.13333333333333333,1,6
JPAWebloggerModule,1,0,0,-1.0,0,43
JPAOAuthManagerImpl,36,0,1,0.0,1,4
JPAThreadManagerImpl,15,0,2,0.0,1,4
JPAPingQueueManagerImpl,9,0,1,0.25,1,3
JPAWeblogManagerImpl,90,0,1,0.07407407407407407,1,20
JPAWeblogEntryManagerImpl,165,0,1,0.04,3,17
JPAUserManagerImpl,69,0,1,0.0625,1,8
ScheduledEntriesTask,15,0,2,0.0,1,7
TaskScheduler,14,0,0,0.0,1,5
RollerTaskWithLeasing,5,6,1,0.0,4,2
TaskRunner,4,0,0,-1.0,0,1
ThreadManagerImpl,14,1,1,0.5,0,6
HitCountProcessingJob,7,0,1,1.0,1,6
Job,3,2,0,-1.0,2,0
RollerTask,14,1,0,0.7777777777777778,5,2
ResetHitCountsTask,13,0,2,0.0,1,5
WorkerThread,5,1,0,0.0,1,3
ContinuousWorkerThread,6,0,1,0.6,0,1
ThreadManager,9,1,0,-1.0,5,2
LuceneIndexManager,47,0,1,0.12,12,13
ReadFromIndexOperation,2,1,1,1.0,0,1
RemoveEntryOperation,3,0,2,0.0,0,5
FieldConstants,0,0,0,-1.0,7,0
AddEntryOperation,4,0,2,0.0,0,4
SearchOperation,15,0,2,0.18181818181818182,1,4
IndexUtil,4,0,0,-1.0,3,1
RemoveWebsiteIndexOperation,6,0,2,0.0,0,6
ReIndexEntryOperation,4,0,2,0.0,0,5
IndexOperation,16,2,0,0.5,1,5
WriteToIndexOperation,2,5,1,1.0,0,1
RebuildWebsiteIndexOperation,9,0,2,0.0,0,8
SearchResultMap,5,0,0,0.0,0,0
SearchResultList,5,0,0,0.0,2,0
IndexManager,11,1,0,-1.0,13,3
WeblogUpdatePinger,17,0,0,0.4,3,5
PingResult,6,0,0,0.0,2,0
PingTargetManager,8,1,0,-1.0,8,1
PingQueueTask,13,0,2,0.0,1,4
PingQueueProcessor,18,0,0,0.0,2,9
AutoPingManager,11,1,0,-1.0,5,4
PingQueueManager,6,1,0,-1.0,5,2
StartupException,7,0,2,0.0,2,0
ClasspathDatabaseScriptProvider,2,0,1,-1.0,1,1
WebloggerStartup,16,0,0,0.18181818181818182,8,6
DatabaseInstaller,86,0,0,0.0,1,3
DatabaseScriptProvider,1,1,0,-1.0,1,0
SQLScriptRunner,20,0,0,0.18181818181818182,1,0
ThemeMetadataTemplate,17,0,0,0.47058823529411764,3,1
ThemeParsingException,4,0,2,-1.0,0,0
SharedThemeTemplate,27,0,2,0.14814814814814814,1,1
SharedTheme,15,1,1,0.5333333333333333,6,1
ThemeMetadataTemplateRendition,6,0,0,0.5,3,0
WeblogCustomTheme,19,0,2,-1.0,0,6
ThemeManager,6,1,0,-1.0,13,2
ThemeInitializationException,4,0,2,-1.0,0,0
