component,smell_count
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/cache/WeblogCacheWarmupJob.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/WeblogPageRequest.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/ModDateHeaderUtil.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/business/fetcher/FetcherException.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/PreviewServlet.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/PlanetFeedServlet.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/mobile/LiteDeviceResolver.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/cache/SiteWideCache.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/security/RollerUserDetailsService.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/core/OAuthAuthorize.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogTemplate.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/velocity/RollerVelocity.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/pagers/UsersPager.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/pagers/AbstractWeblogEntriesPager.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/cache/WeblogPageCache.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/velocity/WebappResourceLoader.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/BookmarkEdit.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/admin/PingTargets.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/core/Install.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/jpa/JPABookmarkManagerImpl.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/runnable/TaskScheduler.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/Trackback.java,3
