Package Name,Class Name,LOC,NOM,WMC,NOF,FAN-IN,FAN-OUT,LCOM
org.apache.roller.weblogger.business.jpa,JPAPropertiesManagerImpl,86,8,16,2,1,4,0.25
org.apache.roller.weblogger.business.jpa,JPAThreadManagerImpl,131,5,15,2,1,4,0.0
org.apache.roller.weblogger.business.jpa,JPAUserManagerImpl,425,32,69,3,1,8,0.0625
org.apache.roller.weblogger.business.jpa,JPAWeblogEntryManagerImpl,987,50,165,7,3,17,0.04
org.apache.roller.weblogger.business.jpa,JPAWebloggerImpl,26,4,4,1,1,11,0.0
org.apache.roller.weblogger.business.jpa,JPAWebloggerModule,30,1,1,0,0,43,-1.0
org.apache.roller.weblogger.business.jpa,JPAWeblogManagerImpl,457,27,90,5,1,23,0.074074074074074
org.apache.roller.weblogger.business.jpa,JPAOAuthManagerTest,46,3,3,1,0,3,0.6666666666666666
org.apache.roller.weblogger.business.pings,AutoPingManager,69,11,11,0,7,4,-1.0
org.apache.roller.weblogger.business.pings,PingQueueManager,39,6,6,0,5,2,-1.0
org.apache.roller.weblogger.business.pings,PingQueueProcessor,108,6,18,3,2,9,0.0
org.apache.roller.weblogger.business.pings,PingQueueTask,96,9,13,6,1,4,0.0
org.apache.roller.weblogger.business.pings,PingTargetManager,55,8,8,0,10,1,-1.0
org.apache.roller.weblogger.business.pings,WeblogUpdatePinger,95,10,17,3,3,5,0.4
org.apache.roller.weblogger.business.pings,PingResult,26,6,6,2,1,0,0.0
org.apache.roller.weblogger.business.plugins.comment,AutoformatPlugin,52,5,10,1,0,1,1.0
org.apache.roller.weblogger.business.plugins.comment,HTMLSubsetPlugin,31,5,6,1,0,2,0.8
org.apache.roller.weblogger.business.plugins.comment,LinkMarkupPlugin,62,5,8,2,0,2,1.0
org.apache.roller.weblogger.business.plugins.comment,WeblogEntryCommentPlugin,24,4,4,0,0,1,-1.0
org.apache.roller.weblogger.business.plugins.entry,ConvertLineBreaksPlugin,59,5,11,4,1,3,0.6
org.apache.roller.weblogger.business.plugins.entry,EncodePreTagsPlugin,37,5,7,3,2,3,0.8
org.apache.roller.weblogger.business.plugins.entry,ObfuscateEmailPlugin,22,5,5,3,0,3,1.0
org.apache.roller.weblogger.business.plugins.entry,SmileysPlugin,98,7,17,7,1,4,0.4285714285714285
org.apache.roller.weblogger.business.plugins.entry,WeblogEntryPlugin,25,4,4,0,2,2,-1.0
org.apache.roller.weblogger.business.plugins.entry,EncodePreTagsPluginTest,32,4,4,0,0,1,-1.0
org.apache.roller.weblogger.business.plugins,PluginManager,36,6,6,0,10,3,-1.0
org.apache.roller.weblogger.business.plugins,PluginManagerImpl,121,9,21,3,1,7,0.2222222222222222
org.apache.roller.weblogger.business.plugins,CommentPluginsTest,20,3,3,2,0,4,1.0
org.apache.roller.weblogger.business.runnable,ContinuousWorkerThread,40,5,6,3,0,1,0.6
org.apache.roller.weblogger.business.runnable,HitCountProcessingJob,56,4,7,1,1,6,1.0
org.apache.roller.weblogger.business.runnable,Job,18,3,3,0,2,0,-1.0
org.apache.roller.weblogger.business.runnable,ResetHitCountsTask,95,9,13,6,1,5,0.0
org.apache.roller.weblogger.business.runnable,RollerTask,79,9,14,2,5,2,0.7777777777777778
org.apache.roller.weblogger.business.runnable,RollerTaskWithLeasing,46,2,5,2,4,2,0.0
org.apache.roller.weblogger.business.runnable,ScheduledEntriesTask,111,9,15,6,1,7,0.0
org.apache.roller.weblogger.business.runnable,TaskRunner,34,2,4,0,0,1,-1.0
org.apache.roller.weblogger.business.runnable,TaskScheduler,110,3,14,3,1,5,0.0
org.apache.roller.weblogger.business.runnable,ThreadManager,54,9,9,1,6,2,-1.0
org.apache.roller.weblogger.business.runnable,ThreadManagerImpl,98,8,14,3,0,6,0.5
org.apache.roller.weblogger.business.runnable,WorkerThread,47,4,5,3,1,3,0.0
org.apache.roller.weblogger.business.search,IndexManager,42,11,11,0,16,3,-1.0
org.apache.roller.weblogger.business.search,SearchResultList,24,5,5,4,3,0,0.0
org.apache.roller.weblogger.business.search,SearchResultMap,24,5,5,4,0,0,0.0
org.apache.roller.weblogger.business.search,IndexManagerTest,77,4,6,3,1,11,0.0
org.apache.roller.weblogger.business.search.lucene,AddEntryOperation,42,2,4,3,0,4,0.0
org.apache.roller.weblogger.business.search.lucene,FieldConstants,22,0,0,16,7,0,-1.0
org.apache.roller.weblogger.business.search.lucene,IndexOperation,99,6,16,3,1,5,0.5
org.apache.roller.weblogger.business.search.lucene,IndexUtil,33,2,4,0,3,1,-1.0
org.apache.roller.weblogger.business.search.lucene,LuceneIndexManager,309,25,47,8,12,13,0.12
org.apache.roller.weblogger.business.search.lucene,ReadFromIndexOperation,21,2,2,1,0,1,1.0
org.apache.roller.weblogger.business.search.lucene,RebuildWebsiteIndexOperation,78,2,9,3,0,8,0.0
org.apache.roller.weblogger.business.search.lucene,ReIndexEntryOperation,44,2,4,3,0,5,0.0
org.apache.roller.weblogger.business.search.lucene,RemoveEntryOperation,37,2,3,3,0,5,0.0
org.apache.roller.weblogger.business.search.lucene,RemoveWebsiteIndexOperation,52,2,6,3,0,6,0.0
org.apache.roller.weblogger.business.search.lucene,SearchOperation,116,11,15,10,1,4,0.1818181818181818
org.apache.roller.weblogger.business.search.lucene,WriteToIndexOperation,25,2,2,1,0,1,1.0
org.apache.roller.weblogger.business.startup,ClasspathDatabaseScriptProvider,21,2,2,0,2,1,-1.0
org.apache.roller.weblogger.business.startup,DatabaseInstaller,650,22,86,6,1,3,0.0
org.apache.roller.weblogger.business.startup,DatabaseScriptProvider,9,1,1,0,1,0,-1.0
org.apache.roller.weblogger.business.startup,SQLScriptRunner,118,11,20,4,5,0,0.1818181818181818
org.apache.roller.weblogger.business.startup,StartupException,35,5,7,1,2,0,0.0
org.apache.roller.weblogger.business.startup,WebloggerStartup,123,11,16,5,10,6,0.1818181818181818
org.apache.roller.weblogger.business.themes,SharedTheme,52,15,15,6,6,1,0.5333333333333333
org.apache.roller.weblogger.business.themes,SharedThemeFromDir,254,16,39,8,0,9,0.0
org.apache.roller.weblogger.business.themes,SharedThemeResourceFromDir,46,10,10,2,1,1,0.2
org.apache.roller.weblogger.business.themes,SharedThemeTemplate,105,27,27,12,1,1,0.1481481481481481
org.apache.roller.weblogger.business.themes,SharedThemeTemplateRendition,62,13,15,4,2,1,0.3076923076923077
org.apache.roller.weblogger.business.themes,ThemeInitializationException,17,4,4,0,0,0,-1.0
org.apache.roller.weblogger.business.themes,ThemeManager,43,6,6,0,14,2,-1.0
org.apache.roller.weblogger.business.themes,ThemeManagerImpl,264,8,39,5,1,16,0.0
org.apache.roller.weblogger.business.themes,ThemeMetadata,76,21,21,9,2,1,0.4761904761904761
org.apache.roller.weblogger.business.themes,ThemeMetadataParser,165,3,25,0,1,3,-1.0
org.apache.roller.weblogger.business.themes,ThemeMetadataTemplate,64,17,17,8,3,1,0.4705882352941176
org.apache.roller.weblogger.business.themes,ThemeMetadataTemplateRendition,23,6,6,3,3,0,0.5
org.apache.roller.weblogger.business.themes,ThemeNotFoundException,17,4,4,0,0,0,-1.0
org.apache.roller.weblogger.business.themes,ThemeParsingException,17,4,4,0,0,0,-1.0
org.apache.roller.weblogger.business.themes,WeblogCustomTheme,90,16,19,0,0,6,-1.0
org.apache.roller.weblogger.business.themes,WeblogSharedTheme,135,14,27,2,0,8,0.0
org.apache.roller.weblogger.config,PingConfig,198,11,32,18,6,6,0.2727272727272727
org.apache.roller.weblogger.config,WebloggerConfig,178,12,17,6,71,1,0.25
org.apache.roller.weblogger.config,WebloggerRuntimeConfig,126,12,17,5,49,7,0.25
org.apache.roller.weblogger.config.runtime,ConfigDef,47,10,13,3,4,1,0.0
org.apache.roller.weblogger.config.runtime,DisplayGroup,42,11,11,3,2,1,0.1818181818181818
org.apache.roller.weblogger.config.runtime,PropertyDef,75,17,17,6,3,0,0.1176470588235294
org.apache.roller.weblogger.config.runtime,RuntimeConfigDefs,25,6,6,1,6,1,0.0
org.apache.roller.weblogger.config.runtime,RuntimeConfigDefsParser,61,5,11,0,2,4,-1.0
org.apache.roller.weblogger.planet.business,PlanetURLStrategy,61,4,7,0,0,1,-1.0
org.apache.roller.weblogger.planet.business,WebloggerRomeFeedFetcher,87,2,11,1,1,8,1.0
org.apache.roller.weblogger.planet.business,WebloggerRomeFeedFetcherTest,41,3,3,2,0,4,0.6666666666666666
org.apache.roller.weblogger.planet.tasks,RefreshRollerPlanetTask,81,9,13,6,3,6,0.0
org.apache.roller.weblogger.planet.tasks,SyncWebsitesTask,138,9,19,6,2,12,0.0
org.apache.roller.weblogger.planet.ui,PlanetConfig,96,12,21,4,1,7,0.4166666666666667
org.apache.roller.weblogger.planet.ui,PlanetGroups,61,8,11,2,0,4,0.625
org.apache.roller.weblogger.planet.ui,PlanetGroupSubs,225,20,39,4,2,8,0.25
org.apache.roller.weblogger.planet.ui,PlanetUIAction,20,1,2,3,0,3,0.0
org.apache.roller.weblogger.pojos,AutoPing,90,11,14,4,9,3,0.1818181818181818
org.apache.roller.weblogger.pojos,CommentSearchCriteria,65,18,18,9,7,2,0.5
org.apache.roller.weblogger.pojos,CustomTemplateRendition,64,15,17,6,9,2,0.2
org.apache.roller.weblogger.pojos,FileContent,39,7,7,3,3,1,0.0
org.apache.roller.weblogger.pojos,GlobalPermission,123,10,29,4,18,6,0.4
org.apache.roller.weblogger.pojos,MediaFile,380,57,80,25,19,7,0.2105263157894736
org.apache.roller.weblogger.pojos,MediaFileComparator,28,2,5,1,0,1,0.0
org.apache.roller.weblogger.pojos,MediaFileDirectory,117,17,25,5,13,3,0.1176470588235294
org.apache.roller.weblogger.pojos,MediaFileDirectoryComparator,24,2,3,1,0,1,0.0
org.apache.roller.weblogger.pojos,MediaFileFilter,75,16,16,8,4,0,0.5
org.apache.roller.weblogger.pojos,MediaFileTag,49,11,13,4,2,2,0.1818181818181818
org.apache.roller.weblogger.pojos,OAuthAccessorRecord,131,20,22,8,2,1,0.45
org.apache.roller.weblogger.pojos,OAuthConsumerRecord,66,10,12,3,2,1,0.4
org.apache.roller.weblogger.pojos,ObjectPermission,54,14,14,7,1,0,0.5714285714285714
org.apache.roller.weblogger.pojos,PingQueueEntry,132,16,18,6,5,3,0.125
org.apache.roller.weblogger.pojos,PingTarget,143,17,19,10,16,1,0.1176470588235294
org.apache.roller.weblogger.pojos,PluginConfiguration,72,9,13,4,2,1,0.2222222222222222
org.apache.roller.weblogger.pojos,Resource,30,5,5,0,2,0,-1.0
org.apache.roller.weblogger.pojos,RollerPermission,72,11,18,1,3,2,0.1818181818181818
org.apache.roller.weblogger.pojos,RuntimeConfigProperty,58,9,11,3,9,1,0.2222222222222222
org.apache.roller.weblogger.pojos,StatCount,93,16,18,6,5,1,0.0
org.apache.roller.weblogger.pojos,StatCountCountComparator,27,3,5,2,1,2,1.0
org.apache.roller.weblogger.pojos,StaticTemplate,52,12,12,6,0,1,0.25
org.apache.roller.weblogger.pojos,StaticThemeTemplate,99,26,26,12,0,0,0.3076923076923077
org.apache.roller.weblogger.pojos,TagManifest,114,9,19,4,1,4,0.2222222222222222
org.apache.roller.weblogger.pojos,TagStat,36,8,8,4,4,0,0.375
org.apache.roller.weblogger.pojos,TagStatComparator,13,2,2,1,0,1,1.0
org.apache.roller.weblogger.pojos,TagStatCountComparator,26,3,4,2,1,2,1.0
org.apache.roller.weblogger.pojos,TaskLock,98,18,22,6,5,1,0.2222222222222222
org.apache.roller.weblogger.pojos,Template,29,6,6,0,10,1,-1.0
org.apache.roller.weblogger.pojos,TemplateRendition,20,8,8,1,5,0,-1.0
org.apache.roller.weblogger.pojos,Theme,53,12,12,0,10,0,-1.0
org.apache.roller.weblogger.pojos,ThemeResource,10,1,1,0,6,0,-1.0
org.apache.roller.weblogger.pojos,ThemeTemplate,29,6,6,1,11,0,-1.0
org.apache.roller.weblogger.pojos,User,193,32,36,13,72,5,0.1875
org.apache.roller.weblogger.pojos,UserRole,55,11,13,4,2,1,0.1818181818181818
org.apache.roller.weblogger.pojos,Weblog,715,97,127,36,133,20,0.1443298969072164
org.apache.roller.weblogger.pojos,WeblogBookmark,128,24,27,9,13,3,0.0833333333333333
org.apache.roller.weblogger.pojos,WeblogBookmarkFolder,109,17,24,5,17,6,0.2352941176470588
org.apache.roller.weblogger.pojos,WeblogCategory,134,21,25,7,26,6,0.1428571428571428
org.apache.roller.weblogger.pojos,WeblogEntry,785,113,135,34,64,17,0.1592920353982301
org.apache.roller.weblogger.pojos,Builder,60,14,14,1,0,4,0.0
org.apache.roller.weblogger.pojos,WeblogEntryAttribute,61,13,15,5,5,2,0.1538461538461538
org.apache.roller.weblogger.pojos,WeblogEntryComment,241,36,39,15,33,2,0.3055555555555556
org.apache.roller.weblogger.pojos,WeblogEntryPresenter,147,12,23,2,0,7,0.0
org.apache.roller.weblogger.pojos,WeblogEntrySearchCriteria,95,26,26,13,19,2,0.5
org.apache.roller.weblogger.pojos,WeblogEntryTag,99,18,20,8,6,5,0.1111111111111111
org.apache.roller.weblogger.pojos,WeblogEntryTagAggregate,77,15,17,6,3,2,0.1333333333333333
org.apache.roller.weblogger.pojos,WeblogEntryTagComparator,17,2,2,1,0,1,1.0
org.apache.roller.weblogger.pojos,WeblogEntryWrapperComparator,18,1,3,1,0,1,0.0
org.apache.roller.weblogger.pojos,WeblogHitCount,49,10,12,3,6,2,0.3
org.apache.roller.weblogger.pojos,WeblogPermission,92,10,24,4,28,4,1.0
org.apache.roller.weblogger.pojos,WeblogTemplate,140,31,38,14,18,3,0.2258064516129032
org.apache.roller.weblogger.pojos,WeblogTheme,13,2,2,2,9,1,0.0
org.apache.roller.weblogger.pojos,WeblogEntryTest,127,17,17,4,0,7,0.1764705882352941
