TypeName,WMC,NC,DIT,LCOM,FANIN,FANOUT
CustomTemplateRendition,17,0,1,0.2,9,2
FileContent,7,0,0,0.0,3,1
GlobalPermission,29,0,1,0.4,17,6
MediaFile,80,0,0,0.2105263157894736,19,7
MediaFileComparator,5,0,0,0.0,0,1
MediaFileDirectory,25,0,0,0.1176470588235294,13,3
MediaFileDirectoryComparator,3,0,0,0.0,0,1
MediaFileFilter,16,0,0,0.5,4,0
MediaFileTag,13,0,0,0.1818181818181818,2,2
OAuthAccessorRecord,22,0,0,0.45,2,1
OAuthConsumerRecord,12,0,0,0.4,2,1
ObjectPermission,14,1,1,0.5714285714285714,1,0
PingQueueEntry,18,0,0,0.125,5,3
PingTarget,19,0,0,0.1176470588235294,16,1
Resource,5,1,0,-1.0,2,0
RollerPermission,18,2,0,0.1818181818181818,3,2
RuntimeConfigProperty,11,0,0,0.2222222222222222,9,1
StatCount,18,0,0,0.0,5,1
StatCountCountComparator,5,0,0,1.0,1,2
StaticTemplate,12,0,1,0.25,0,1
StaticThemeTemplate,26,0,2,0.3076923076923077,0,0
TagStat,8,0,0,0.375,4,0
TagStatComparator,2,0,0,1.0,0,1
TagStatCountComparator,4,0,0,1.0,1,2
TaskLock,22,0,0,0.2222222222222222,5,1
Template,6,2,0,-1.0,10,1
TemplateRendition,8,1,0,-1.0,5,0
Theme,12,1,0,-1.0,10,0
ThemeResource,1,0,1,-1.0,6,0
ThemeTemplate,6,2,1,-1.0,11,0
User,36,0,0,0.1875,70,5
UserRole,13,0,0,0.1818181818181818,2,1
Weblog,127,0,0,0.1443298969072164,130,20
WeblogBookmark,27,0,0,0.0833333333333333,13,3
WeblogBookmarkFolder,24,0,0,0.2352941176470588,17,6
WeblogCategory,25,0,0,0.1428571428571428,25,6
WeblogEntry,134,0,0,0.1290322580645161,60,20
WeblogEntryAttribute,15,0,0,0.1538461538461538,4,2
WeblogEntryComment,39,0,0,0.3055555555555556,33,2
WeblogEntrySearchCriteria,26,0,0,0.5,19,2
WeblogEntryTag,20,0,0,0.1111111111111111,6,5
WeblogEntryTagAggregate,17,0,0,0.1333333333333333,3,2
WeblogEntryTagComparator,2,0,0,1.0,0,1
WeblogEntryWrapperComparator,3,0,0,0.0,0,1
WeblogHitCount,12,0,0,0.3,6,2
WeblogPermission,24,0,2,1.0,27,4
WeblogTemplate,38,0,2,0.2258064516129032,18,3
WeblogTheme,2,0,1,0.0,9,1
ThemeTemplateWrapper,10,0,0,0.2222222222222222,2,1
UserWrapper,11,0,0,0.2222222222222222,7,3
WeblogBookmarkFolderWrapper,6,0,0,0.4,2,1
WeblogBookmarkWrapper,11,0,0,0.2,0,2
WeblogCategoryWrapper,10,0,0,0.2222222222222222,5,4
WeblogEntryAttributeWrapper,5,0,0,0.5,0,1
WeblogEntryCommentWrapper,20,0,0,0.1111111111111111,4,6
WeblogEntryTagWrapper,6,0,0,0.4,0,2
WeblogEntryWrapper,47,0,0,0.0434782608695652,15,7
WeblogWrapper,57,0,0,0.0377358490566037,9,9
CmaRollerContext,2,0,1,-1.0,0,0
RollerContext,32,1,0,0.3636363636363636,11,9
RollerLoginSessionManager,11,0,0,0.2857142857142857,6,6
SingletonHolder,0,0,0,-1.0,1,1
SessionCacheHandler,2,0,0,-1.0,0,1
RollerSession,20,0,0,0.0,12,8
RollerLoginSessionManagerTest,7,0,0,0.0,0,4
RollerSessionTest,8,0,0,0.0,0,6
BootstrapFilter,5,0,0,0.5,0,2
CharEncodingFilter,6,0,0,1.0,0,0
CustomOpenIDAuthenticationProcessingFilter,6,0,0,1.0,0,0
DebugFilter,3,0,0,1.0,0,0
InitFilter,14,0,0,0.5,2,2
IPBanFilter,4,0,0,0.6666666666666666,0,1
LoadSaltFilter,4,0,0,-1.0,1,2
PersistenceSessionFilter,4,0,0,1.0,0,1
RoleAssignmentFilter,3,0,0,1.0,0,0
RoleAssignmentRequestWrapper,3,0,0,1.0,0,3
SpringFirewallExceptionFilter,3,0,0,1.0,0,0
ValidateSaltFilter,10,0,0,0.5,1,3
InitFilterTest,5,0,0,0.4,0,1
LoadSaltFilterTest,5,0,0,0.4,0,3
TestUser,2,0,0,0.0,0,0
ValidateSaltFilterTest,9,0,0,0.2222222222222222,0,4
TestUser,2,0,0,0.0,0,0
Summernote,4,0,1,-1.0,0,0
TextEditor,4,0,1,-1.0,0,0
UIPluginManager,2,1,0,-1.0,3,0
UIPluginManagerImpl,9,0,1,0.4,2,4
WeblogEntryEditor,3,2,0,-1.0,1,0
AuthoritiesPopulator,7,0,0,0.0,0,4
AutoProvision,1,1,0,-1.0,2,0
BasicUserAutoProvision,6,0,1,0.0,0,5
CustomUserRegistry,17,0,0,0.6666666666666666,3,4
RollerRememberMeAuthenticationProvider,2,0,0,0.0,0,1
RollerRememberMeServices,4,0,0,0.0,0,1
RollerUserDetails,5,0,0,-1.0,1,0
RollerUserDetailsService,8,0,0,0.0,0,4
BigWeblogCalendarModel,13,0,2,0.0,0,6
CalendarModel,10,1,0,-1.0,2,0
CalendarTag,34,0,0,0.1666666666666666,1,2
WeblogCalendarModel,32,1,1,0.0,1,8
Menu,3,0,0,0.0,1,1
MenuHelper,44,0,0,0.375,3,17
MenuTab,9,0,0,0.4444444444444444,2,1
MenuTabItem,6,0,0,0.5,2,0
ParsedMenu,3,0,0,0.0,1,1
ParsedTab,13,0,0,0.4615384615384615,2,1
ParsedTabItem,14,0,0,0.5,2,0
DeviceResolverRequestFilter,3,0,0,0.6666666666666666,0,3
RequestMappingFilter,6,0,0,0.6666666666666666,0,1
MobileDeviceRepository,10,0,0,0.0,10,1
CalendarModel,10,0,1,0.4,0,5
ConfigModel,25,0,1,-1.0,0,2
FeedModel,31,0,1,0.2631578947368421,0,7
FeedEntriesPager,6,0,0,0.0,0,2
FeedCommentsPager,6,0,0,0.0,0,2
FeedFilesPager,6,0,0,0.0,0,2
MenuModel,8,0,1,0.5,0,5
MessageModel,5,0,1,0.5,0,2
Model,2,11,0,-1.0,1,0
ModelLoader,6,0,0,0.0,5,3
PageModel,32,2,1,0.2222222222222222,0,10
PlanetModel,18,0,1,0.25,0,10
PreviewPageModel,10,0,2,0.0,0,5
PreviewURLModel,5,0,2,0.0,0,4
SearchResultsFeedModel,19,0,1,0.1428571428571428,2,12
SearchResultsModel,22,0,2,0.1333333333333333,1,9
SiteModel,43,0,1,0.0769230769230769,0,15
URLModel,71,1,1,0.1129032258064516,0,8
FeedURLS,3,0,0,-1.0,0,0
EntryFeedURLS,7,0,0,-1.0,0,0
CommentFeedURLS,4,0,0,-1.0,0,0
MediaFileFeedURLS,4,0,0,-1.0,0,0
UtilitiesModel,51,0,1,0.8095238095238095,0,10
SearchResultsFeedModelTest,5,0,0,0.0,0,8
SearchResultsModelTest,7,0,0,0.0,0,9
Renderer,1,0,0,-1.0,11,0
RendererFactory,1,0,0,-1.0,0,2
RendererManager,4,0,0,1.0,7,3
RenderingException,3,0,0,-1.0,0,0
RequestMapper,1,1,0,-1.0,0,0
WeblogRequestMapper,59,0,1,0.0,0,3
AbstractPager,18,7,1,0.1538461538461538,0,2
AbstractWeblogEntriesPager,28,4,1,0.3333333333333333,0,5
CommentsPager,12,0,2,0.0,0,7
MediaFilesPager,9,0,2,0.5,0,3
Pager,7,1,0,-1.0,0,0
PlanetEntriesPager,9,0,2,0.0,0,6
SearchResultsFeedPager,14,0,2,0.0,1,5
SearchResultsPager,19,0,1,0.4166666666666667,1,4
UsersPager,14,0,2,0.0,0,5
WeblogEntriesDayPager,27,0,2,0.25,0,7
WeblogEntriesLatestPager,8,0,2,0.0,0,6
WeblogEntriesListPager,13,0,2,0.0,0,7
WeblogEntriesMonthPager,27,0,2,0.25,0,7
WeblogEntriesPager,11,2,0,-1.0,0,0
WeblogEntriesPermalinkPager,20,1,2,0.3,0,8
WeblogEntriesPreviewPager,5,0,3,1.0,0,7
WeblogsPager,15,0,2,0.0,0,5
AkismetCommentValidator,4,0,1,0.6666666666666666,0,5
BannedwordslistCommentValidator,3,0,1,1.0,0,4
CommentAuthenticator,2,3,0,-1.0,2,0
CommentAuthenticatorUtils,2,0,0,0.0,2,2
CommentValidationManager,5,0,0,0.0,3,5
CommentValidator,2,5,0,-1.0,1,2
DefaultCommentAuthenticator,2,0,1,-1.0,0,0
ExcessLinksCommentValidator,5,0,1,0.6666666666666666,0,4
ExcessSizeCommentValidator,4,0,1,0.6666666666666666,0,4
LdapCommentAuthenticator,13,0,1,0.4,0,3
MathCommentAuthenticator,5,0,1,1.0,0,2
TrackbackLinkbackCommentValidator,4,0,1,1.0,0,6
CommentAuthenticatorServlet,4,0,0,0.6666666666666666,0,3
CommentServlet,31,0,0,0.6666666666666666,0,23
FeedServlet,28,0,0,0.0,0,17
MediaResourceServlet,9,0,0,0.0,0,7
PageServlet,69,0,0,0.0,0,23
PlanetFeedServlet,19,0,0,0.0,0,13
PreviewResourceServlet,13,0,0,0.0,0,9
PreviewServlet,22,0,0,0.0,0,15
ResourceServlet,13,0,0,0.0,0,8
RSDServlet,7,0,0,0.0,0,9
SearchServlet,13,0,0,0.0,0,17
TrackbackServlet,21,0,0,0.4,0,13
PlanetCache,24,0,0,0.25,2,7
SaltCache,10,0,0,0.3333333333333333,5,6
SiteWideCache,53,0,0,0.1666666666666666,4,18
WeblogCacheWarmupJob,10,0,0,0.5,0,9
WeblogFeedCache,21,0,0,0.2857142857142857,3,7
WeblogPageCache,30,0,0,0.25,3,7
InvalidRequestException,2,0,0,-1.0,0,0
ModDateHeaderUtil,8,0,0,1.0,7,3
ParsedRequest,11,2,0,0.2222222222222222,1,4
PlanetRequest,13,0,1,0.0,2,0
WeblogCommentRequest,27,0,2,0.125,1,4
WeblogEntryCommentForm,20,0,0,0.15,3,2
WeblogFeedRequest,30,0,2,0.1111111111111111,12,6
WeblogMediaResourceRequest,11,0,2,0.4285714285714285,1,0
WeblogPageRequest,57,1,2,0.0666666666666666,10,9
WeblogPreviewRequest,21,0,3,0.2857142857142857,2,6
WeblogPreviewResourceRequest,11,0,3,0.5,1,3
WeblogRequest,29,7,1,0.1538461538461538,14,2
WeblogResourceRequest,8,1,2,0.6,1,1
WeblogSearchRequest,16,0,2,0.2,4,4
WeblogTrackbackRequest,25,0,2,0.1428571428571428,1,3
CommentValidatorTest,7,0,0,0.0,0,7
Device,3,1,0,-1.0,3,0
DeviceResolver,1,1,0,-1.0,1,0
DeviceUtils,4,0,0,0.0,3,2
LiteDevice,6,0,1,0.0,1,0
LiteDeviceResolver,26,0,1,0.0,0,1
MobileDeviceRepository,7,0,0,-1.0,1,3
RollerResourceLoader,10,0,0,0.75,0,4
RollerVelocity,5,0,0,0.0,1,1
ThemeResourceLoader,12,0,0,0.75,0,5
VelocityRenderer,6,0,0,0.0,0,4
